Vitorlás jacht neve;Teljes hossz (méter);Hajó vízre bocsátása (év);Dávid értékelése (1-10)
A;142.81;2015;7.8
Koru;127.00;2022;3.9
Sea Cloud;109.52;1931;5.1
Black Pearl;106.70;2016;9.3
Eos;92.90;2006;9.3
Athena;90.00;2004;3.4
The Maltese Falcon;88.10;1990;9.8
Aquijo;85.90;2015;9.7
Sea Eagle II;81.00;2020;3.3
Mirabella V;77.60;2004;4.6
Badis;70.00;2016;7.0
Atlantic;69.24;2010;8.3
Vertigo;67.20;2011;5.5
Hetairos III;66.70;2011;6.9
Anatta;66.00;2011;1.7
Creole;65.30;1927;3.5
Lamima;65.20;2014;4.6
Adix;64.85;1984;5.8
Pilar Rossi;64.35;2005;9.3
Spirit of the C's;64.00;2003;6.5
Running on Waves;64.00;2011;6.6
Mikhail S. Vorontsov;63.50;2013;3.1
Athos;63.25;2010;8.7
Baboon;62.00;1990;3.2
Rainbow Warrior III;61.34;2011;3.1
Zinat al Bihaar;61.00;1988;1.7
Sarissa II;59.70;2023;7.8
Germania Nova;59.60;2011;2.7
Eendracht;59.08;1989;4.1
Maximus;59.00;2023;5.1
Seahawk;58.60;2013;7.4
Perseus 3;58.60;2014;8.2
Seven;58.60;2017;9.5
Kokomo III;58.40;2010;6.5
Ngoni V;58.14;2017;3.0
Ethereal;58.04;2009;4.0
Taouey;58.00;1994;1.6
Twizzle II;57.49;2010;7.4
Fleurtje;57.00;1960;8.1
Loretta;57.00;2009;3.3
Salvaje;56.40;2013;1.5
Aquarius;56.10;2017;7.1
Burrasca;56.00;2003;7.1
Zenji;56.00;2004;9.7
Rosehearty;56.00;2006;1.5
Caoz 14;56.00;2007;4.8
Bayesian;56.00;2008;4.9
Piropo V;56.00;2008;3.2
Asahi;56.00;2009;9.5
Melek;56.00;2010;1.0
Panthalassa;56.00;2010;7.6
Fidelis;56.00;2011;6.0
Regina;56.00;2011;9.4
Alea;56.00;2022;3.4
Hazar Yıldızı;55.98;2007;9.3
Adela;55.50;1903;8.9
Kamaxitha II;55.42;2011;7.1
Elena;55.00;2009;8.2
Adèle;54.64;2005;1.4
Marie;54.64;2010;9.2
Meira;54.50;2018;4.5
Shenandoah;54.35;1902;6.5
Tiara;54.27;2004;1.7
Parsifal III;54.00;2005;3.4
Chronos;54.00;2013;5.4
Rhea;54.00;2017;4.7
Pink Gin VI;53.90;2017;9.8
Nirvana;53.48;2007;1.4
El Boughaz I;53.30;1930;8.1
Jasali II;53.00;1998;2.0
Atmosphere;53.00;2000;5.1
Drumbeat;53.00;2002;9.9
